steps,currentTime,done,speed,reward,gap,world_position_y,world_position_x,RPM,steerAngle,brakeStatus,accStatus,actualGear,packetId,velocity_x,velocity_y,velocity_z,yaw,roll,angular_velocity_y,angular_velocity_x,LapCount,LapDist,going_backwards,current_action_abs_0,current_action_abs_1,current_action_abs_2,actions_0,actions_1,actions_2,rl_point,out_of_track
14,4547.808,0,0.005460986867547035,6.545558130959892e-05,0.013964710557848063,-16.30286979675293,876.6299438476562,3907.116943359375,0.0,0.0,1.0,1,296387,0.0016087910626083612,-0.0029236520640552044,0.0029946581926196814,-1.0416592359542847,-0.04285109415650368,-0.005016780458390713,0.0006490492378361523,0,5165.75963980009,0.0,0.0,1.0,-1.0,-0.1,0.5,-1.0,3363,0.0
15,4547.877,0,0.0038769682869315147,4.6469463861255056e-05,0.013968538795034327,-16.30287742614746,876.6299438476562,4548.9169921875,4.031999588012695,0.0,1.0,1,296391,-0.001031809370033443,-0.0031331011559814215,-0.0006702746031805873,-1.041622519493103,-0.043031539767980576,0.0023397202603518963,0.0007545846165157855,0,5165.75963980009,0.0,0.013333334028720856,1.0,-1.0,0.1,0.5,-1.0,3363,0.0
16,4547.943,0,0.0037131519056856632,4.450588093394288e-05,0.013988637040554551,-16.30291748046875,876.6299438476562,5174.7919921875,0.0,0.0,1.0,1,296395,-0.0009588951943442225,-0.003112326841801405,-0.0018828918691724539,-1.0416635274887085,-0.04322855919599533,-0.002099070930853486,0.000703330326359719,0,5165.75963980009,0.0,0.0,1.0,-1.0,-0.1,0.5,-1.0,3363,0.0
17,4548.009,0,0.005716737359762192,6.852086801065115e-05,0.013990551159145902,-16.302921295166016,876.6299438476562,5811.41796875,4.031999588012695,0.0,1.0,1,296399,-0.0001883391523733735,-0.0032450146973133087,-0.005631275475025177,-1.0416364669799805,-0.04339063912630081,-0.0031050171237438917,0.001101466128602624,0,5165.75963980009,0.0,0.013333334028720856,1.0,-1.0,0.1,0.5,-1.0,3363,0.0
18,4548.075,0,0.0036831009201705456,4.414542805566444e-05,0.014059616476574017,-16.302953720092773,876.6298828125,6431.1728515625,0.0,0.0,1.0,1,296403,0.0002851093595381826,-0.0028231453616172075,0.0010026453528553247,-1.0416582822799683,-0.04358229413628578,0.0013185781426727772,0.000590180279687047,0,5165.75963980009,0.0,0.0,1.0,-1.0,-0.1,0.5,-1.0,3363,0.0
19,4548.129,0,0.004994917660951614,5.98690059891047e-05,0.014015434701148063,-16.30297088623047,876.6299438476562,6903.17138671875,4.031999588012695,0.0,1.0,1,296407,-0.0007606513681821525,-0.0027664178051054478,0.0049594403244555,-1.0416401624679565,-0.04371073469519615,0.0024381750263273716,0.00024845966254360974,0,5165.75963980009,0.0,0.013333334028720856,1.0,-1.0,0.1,0.5,-1.0,3363,0.0
20,4548.18,0,0.006403646897524595,7.675363802081638e-05,0.014073972366216507,-16.302982330322266,876.6298828125,7087.01708984375,0.0,0.0,0.0,1,296411,-0.0002943520958069712,-0.0027988299261778593,-0.00012840366980526596,-1.0416655540466309,-0.04382874816656113,-0.00017141587159130722,0.0006656924379058182,0,5165.75963980009,0.0,0.0,1.0,-1.0,-0.1,0.5,-1.0,3363,0.0
21,4548.243,0,0.0034015898127108812,4.077118433836602e-05,0.01407971472209424,-16.302993774414062,876.6298828125,6806.04345703125,4.031999588012695,0.0,0.0,1,296415,-0.004250574391335249,-0.003244989551603794,-0.006947406567633152,-1.0416382551193237,-0.0439688041806221,-0.004191611427813768,0.0007012274581938982,0,5165.75963980009,0.0,0.013333334028720856,1.0,-1.0,0.1,0.5,-1.0,3363,0.0
22,4548.309,0,0.004028667695820332,4.8287235878541736e-05,0.014093113552441057,-16.303020477294922,876.6298828125,6525.255859375,0.0,0.0,0.0,1,296419,-0.002176259644329548,-0.002757252659648657,-0.00022734736558049917,-1.0416542291641235,-0.04414304345846176,-0.0013788307551294565,0.0004424027865752578,0,5165.75963980009,0.0,0.0,1.0,-1.0,-0.1,0.5,-1.0,3363,0.0
23,4548.375,0,0.0033277517650276423,3.988613553625621e-05,0.014089285315156455,-16.30301284790039,876.6298828125,6257.7060546875,4.031999588012695,0.0,0.0,1,296423,0.0029320591129362583,-0.0026779475156217813,0.0022299685515463352,-1.0416377782821655,-0.04429391399025917,-0.002316937083378434,0.0009320928365923464,0,5165.75963980009,0.0,0.013333334028720856,1.0,-1.0,0.1,0.5,-1.0,3363,0.0
